Post Date,Post Id,Post Url,Price,Location,Post title
2022-07-04 09:01,7495690312,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-lenovo-yoga-c930-13ikb/7495690312.html,$200, (nob hill),LENOVO YOGA C930-13ikb Laptop
2022-07-04 08:55,7503534177,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7040-i5-8gb/7503534177.html,$120, (city of san francisco),"Dell Optiplex 7040/ i5/ 8GB RAM/500GB HD/ Win10 Pro + 24"" Dell Mon"
2022-07-04 08:54,7498830367,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-latitude-e7470-fhd/7498830367.html,$235, (city of san francisco),Dell Latitude E7470 FHD (1920 x1080) i5/ 16GB RAM/500GB SSD/ Win10 Pro
2022-07-04 08:54,7498831714,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-9030-all-in/7498831714.html,$195, (San Francisco),Dell Optiplex 9030 All-in-One  i7/8GB RAM/ 500GB HD/ Web Com/ W10 Pro
2022-07-04 08:54,7498835134,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-all-in-one/7498835134.html,$115, (city of san francisco),"Dell OptiPlex 3030 20"" All-in-One i5/8GB Ram/500GB HD /WIFI, W10Pro"
2022-07-04 08:53,7500681922,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7010-i5/7500681922.html,$150, (city of san francisco),"Dell Optiplex 7010/ i5/ 16GB RAM/500GB SSD/ Win10 Pro + 24"" Dell Mon"
2022-07-04 08:47,7499026408,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-acer-aspire-1690-zl2-fix/7499026408.html,$45, (San Francisco/Daly City),Acer Aspire 1690 ZL2 - Fix or Parts
2022-07-04 08:43,7498931502,https://sfbay.craigslist.org/sfc/sys/d/brand-new-genuine-dell-1815dn-toner/7498931502.html,$55, (excelsior / outer mission),Brand New/Genuine Dell 1815dn Toner
2022-07-04 08:42,7498906905,https://sfbay.craigslist.org/sfc/sys/d/brand-new-compatible-canon-toner/7498906905.html,$15, (excelsior / outer mission),Brand New/Compatible Canon Toner Cartridge FX3
2022-07-04 08:20,7498856135,https://sfbay.craigslist.org/sfc/sys/d/epson-inks-t059-for-stylus-photo/7498856135.html,$3, (San Francisco/Daly City),Epson Inks T059 for Stylus Photo Printer R2400
2022-07-04 08:20,7498856008,https://sfbay.craigslist.org/sfc/sys/d/epson-ink-cartridges-for-epson-stylus/7498856008.html,$4, (San Francisco/Daly City),"Epson Ink Cartridges for Epson Stylus R200, RX500"
2022-07-04 08:20,7498855904,https://sfbay.craigslist.org/sfc/sys/d/epson-inks-s020-t044-t032-t019/7498855904.html,$3, (San Francisco/Daly City),"Epson Inks S020, T044, T032, T019"
2022-07-04 08:19,7498853905,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-hp-pavilion-dv6000/7498853905.html,$160, (San Francisco/Daly City),HP Pavilion DV6000 Entertainment Altec Lansing Laptop + New Battery
2022-07-04 08:15,7498817263,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-thunderbolt-display/7498817263.html,$190, (San Francisco/Daly City),"Apple Thunderbolt Display 27"" A1407 2560x1440  (VESA Mount)"
2022-07-04 08:15,7498815897,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-intel-ghz-250gb-6gb-wifi/7498815897.html,$159, (San Francisco/Daly City),Intel i3-2100 3.1GHz 250GB 6GB WiFi Windows 10 Pro
2022-07-04 07:23,7498794396,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-apple-macbook-air/7498794396.html,$599, (inner sunset / UCSF),Apple MacBook Air 13” 2019
2022-07-04 03:12,7504517209,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-compaq-presario-sr5612f/7504517209.html,$179, (downtown / civic / van ness),@@@ Compaq Presario SR5612F Desktop PC with Keyboard&Mouse @@@
2022-07-04 01:51,7501598264,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-custom-and-complete-intel/7501598264.html,"$1,100", (hayes valley),"Custom and complete Intel i5 10400, GTX 1070, 32GB RAM, 1TB SSD, Win10"
2022-07-04 00:58,7504510705,https://sfbay.craigslist.org/sfc/sys/d/bolinas-lenovo-g560-notebook-plus-spare/7504510705.html,$95, (East Bay),Lenovo G560 Notebook plus spare laptop
2022-07-04 00:55,7495267177,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-herman-miller-flo-monitor/7495267177.html,$125, (SOMA / south beach),Herman Miller Flo Monitor Arm/Mount - New in Box
2022-07-03 23:30,7500728568,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-2009-apple-imac-215-inch/7500728568.html,$300, (treasure island),"2009 Apple iMac 21.5-inch, Late"
2022-07-03 23:01,7504500684,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-alienware-m17-hz-fhd-core/7504500684.html,"$1,500", (San Francisco),"Alienware M17 R4 - 17.3"" 360hz FHD - Core i7-10870H - 16GB - RTX 3070"
2022-07-03 21:18,7503754015,https://sfbay.craigslist.org/sfc/sys/d/daly-city-sale-trade-2019-macbook-pro/7503754015.html,"$2,400", (downtown / civic / van ness),"(Sale/Trade) 2019 MacBook Pro 16"" i9 / 16gb / 5500m / 1TB / spacegrey"
2022-07-03 21:16,7492499398,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-macbook-pro-15-tb-storage/7492499398.html,$599, (pacific heights),"macbook pro 15"" 1 TB storage"
