Post Date,Post Id,Post Url,Price,Location,Post title
2022-07-05 09:32,7504972704,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-alienware-aurora-r9-intel/7504972704.html,"$1,200", (pacific heights),Alienware Aurora R9 Intel i9 2070 Super (x2) SLI 32GB RAM Gaming PC
2022-07-05 09:25,7496045437,https://sfbay.craigslist.org/sfc/sys/d/san-jose-disk-revocery/7496045437.html,$100, (san jose),Disk Revocery
2022-07-05 09:16,7503391404,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-inspiron-600m-laptop/7503391404.html,$100, (Royal Oaks),Dell Inspiron 600m Laptop
2022-07-05 09:14,7499954345,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-vostro-1500-laptop/7499954345.html,$100, (Royal Oaks),Dell Vostro 1500 Laptop
2022-07-05 09:10,7495055618,https://sfbay.craigslist.org/sfc/sys/d/aromas-dell-inspiron-1000-laptop/7495055618.html,$100, (Royal Oaks),Dell Inspiron 1000 Laptop
2022-07-05 08:57,7501058570,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-hp-laserjet-1300-laser/7501058570.html,$30, (inner sunset / UCSF),HP laserjet 1300 laser printer
2022-07-05 07:37,7504912312,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-alienware-gaming-desktop/7504912312.html,"$1,900", (San Francisco),Alienware Gaming Desktop Computer with Ryzen 9 5900 and GPU 6800XT 16GB 1TB NV.M
2022-07-05 06:00,7493527870,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-new-samsung-book-pro/7493527870.html,$900, (inner sunset / UCSF),"NEW Samsung Book Pro 360, 13"" Intel i7 16GB 512GB SSD OLED Touchscreen"
2022-07-05 05:46,7502458773,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-dell-optiplex-7010-pc/7502458773.html,$60, (glen park),Dell Optiplex 7010 PC -  Intel Core i5-3470 Quad Core/8GB RAM/74GB HD
2022-07-05 05:16,7504862425,https://sfbay.craigslist.org/sfc/sys/d/san-francisco-like-new-lenovo-thinkpad/7504862425.html,$259, (downtown / civic / van ness),@@ LIKE NEW Lenovo ThinkPad T410 1TB Laptop Windows 10 64bit FAST @@
